sex,age,eyes,piercings,pierced,tattoos,tattooed,glasses,sleep,study,tv,movies,movies3m,sport,entertainment,fruit,income,rent,clothes,hair,tobacco,smokes,alcohol,buy.alcohol,sendtxt,receivetxt,txts,country,status
male,22,brown,0,No,0,No,Yes,7,40,0,0,No,basketball,comp.vid.games,melon,198,120,20,15,0,No,0,No,10,10,Yes,China,NZ.Citizen
female,21,brown,2,Yes,0,No,Yes,8,12,12,1,Yes,none,craft,banana,200,95,100,50,0,No,10,Yes,10,10,Yes,NZ,NZ.Citizen
male,21,brown,0,No,0,No,No,7,2,5,3,Yes,golf,comp.vid.games,grapes,200,0,20,15,0,No,0,No,25,25,Yes,HK,NZ.Citizen
male,22,brown,0,No,0,No,No,7,2,21,5,Yes,basketball,comp.vid.games,grapes,155,100,50,15,0,No,0,No,20,20,Yes,NZ,NZ.Resident
female,20,brown,4,Yes,0,No,Yes,7,3,15,2,Yes,netball,parties,melon,250,200,50,20,0,No,10,Yes,5,5,Yes,NZ,NZ.Citizen
male,19,hazel,0,No,0,No,Yes,8,50,12,0,No,cricket,watch.sport,other,200,0,50,25,0,No,100,Yes,30,20,Yes,NZ,NZ.Citizen
male,20,brown,0,No,0,No,No,8,10,20,12,Yes,basketball,comp.vid.games,banana,300,100,150,15,0,No,5,Yes,40,40,Yes,China,NZ.Citizen
female,26,other,0,No,0,No,Yes,6,10,5,0,No,table.tennis,movies,melon,260,121,20,20,0,No,0,No,1,1,Yes,China,NZ.Resident
male,45,blue,0,No,1,Yes,No,6,10,16,1,Yes,cycling,watch.sport,banana,80,0,85,25,0,No,15,Yes,2,2,Yes,NZ,NZ.Citizen
male,18,brown,0,No,0,No,No,7,21,14,4,Yes,rugby.league,meet.friends,other,96,30,50,0,0,No,0,No,50,70,Yes,NZ,NZ.Citizen
male,25,brown,0,No,0,No,Yes,7,60,0,1,Yes,basketball,comp.vid.games,strawberry,152,0,0,0,0,No,0,No,0,0,No,Uzbekistan,NZ.Citizen
male,19,brown,0,No,0,No,Yes,6,20,5,15,Yes,table.tennis,parties,banana,286,0,150,50,0,No,0,No,10,10,Yes,Malaysia,NZ.Citizen
female,21,brown,3,Yes,0,No,Yes,8,5,10,1,Yes,other,surf.web,peach,120,0,100,35,0,No,0,No,50,50,Yes,SKorea,International
female,23,brown,0,No,0,No,Yes,8,3,2,0,No,basketball,meet.friends,melon,500,200,50,25,0,No,0,No,25,25,Yes,India,NZ.Resident
male,23,brown,0,No,0,No,Yes,7,20,5,4,Yes,other,surf.web,peach,150,0,30,20,0,No,0,No,5,5,Yes,NZ,NZ.Citizen
male,22,other,0,No,0,No,No,8,30,3,3,Yes,soccer,meet.friends,apple,160,0,200,25,0,No,20,Yes,50,50,Yes,SKorea,NZ.Resident
female,20,brown,2,Yes,0,No,No,7,15,10,6,Yes,badminton,meet.friends,other,100,0,200,100,0,No,0,No,20,25,Yes,HK,NZ.Citizen
female,27,brown,6,Yes,0,No,Yes,6,10,10,1,Yes,soccer,meet.friends,other,560,0,50,10,0,No,0,No,20,20,Yes,US,NZ.Resident
female,21,other,0,No,0,No,Yes,8,5,2,4,Yes,badminton,parties,apple,150,300,200,40,0,No,20,Yes,20,20,Yes,Taiwan,International
male,19,brown,0,No,0,No,Yes,6,5,16,6,Yes,badminton,comp.vid.games,apple,200,0,5,15,0,No,0,No,20,35,Yes,SriLanka,NZ.Resident
male,22,brown,3,Yes,1,Yes,Yes,8,8,6,0,No,rugby.union,surf.web,banana,0,200,100,12,11,Yes,20,Yes,10,12,Yes,Fiji,International
male,22,brown,0,No,0,No,Yes,6,18,0,4,Yes,tennis,meet.friends,apple,100,167,50,25,0,No,8,Yes,50,45,Yes,SKorea,International
male,21,brown,1,Yes,0,No,Yes,8,6,5,3,Yes,other,movies,melon,198,100,0,15,0,No,30,Yes,30,10,Yes,Burma,NZ.Citizen
male,21,brown,0,No,0,No,No,8,30,5,1,Yes,basketball,watch.sport,strawberry,180,0,10,40,0,No,20,Yes,2,2,Yes,NZ,NZ.Citizen
female,21,brown,8,Yes,0,No,Yes,9,4,10,20,Yes,badminton,live.mod.music,melon,130,0,20,20,0,No,20,Yes,10,10,Yes,SKorea,NZ.Resident
female,20,brown,2,Yes,0,No,No,9,35,30,0,No,badminton,movies,orange,120,0,400,50,0,No,0,No,5,10,Yes,NZ,NZ.Citizen
male,20,brown,0,No,0,No,Yes,8,3,15,4,Yes,rugby.union,meet.friends,banana,160,0,0,0,0,No,30,Yes,50,50,Yes,NZ,NZ.Citizen
female,18,brown,3,Yes,0,No,Yes,7,49,10,5,Yes,other,meet.friends,orange,60,0,0,50,0,No,0,No,50,70,Yes,China,NZ.Citizen
female,19,brown,3,Yes,0,No,Yes,6,40,10,9,Yes,athletics,parties,other,200,60,40,30,0,No,40,Yes,3,3,Yes,NZ,NZ.Citizen
female,20,blue,2,Yes,0,No,No,8,20,7,3,Yes,other,parties,strawberry,200,0,100,250,0,No,10,Yes,15,20,Yes,NZ,NZ.Resident
female,21,brown,3,Yes,0,No,Yes,9,20,0,6,Yes,badminton,surf.web,orange,0,210,20,0,0,No,0,No,7,7,Yes,China,International
female,32,other,0,No,0,No,Yes,7,20,10,2,Yes,athletics,surf.web,apple,100,0,100,25,0,No,0,No,1,1,Yes,China,NZ.Resident
male,26,hazel,2,Yes,0,No,Yes,8,14,6,3,Yes,basketball,watch.sport,other,600,170,50,25,0,No,5,Yes,15,15,Yes,China,NZ.Resident
female,19,brown,2,Yes,0,No,No,8,5,5,6,Yes,tennis,meet.friends,other,125,0,50,20,0,No,10,Yes,5,4,Yes,China,NZ.Citizen
female,21,brown,3,Yes,0,No,No,9,15,10,0,No,cycling,surf.web,kiwifruit,300,170,100,40,0,No,10,Yes,30,30,Yes,SKorea,International
